Household: Household ID,FY 2014,FY 2015,FY 2016,FY 2017
a009000001qeVWC,0,0,1,0
a009000001r7vsY,0,0,2,0
a009000001rp5cE,0,0,2,0
a009000001rp851,0,0,2,0
a009000001t1hMm,0,0,2,0
a0090000021UOTC,0,0,2,0
a0090000021W4jV,0,1,0,0
a0090000021WLQB,0,0,1,0
a0090000026bK3M,0,0,1,0
a0090000028cMeT,0,0,1,0
a009000002BVRgN,0,0,1,0
a009000002CnBb4,0,1,4,0
a009000002CnBxo,0,0,1,0
a009000002CoJ1H,0,0,3,0
a009000002DrNCa,0,0,1,0
a009000002DrNYy,0,0,1,0
a009000002EIAjh,0,0,1,0
a009000002FL6ev,0,1,2,0
a009000002FL6kN,0,0,1,0
a009000002IVMzX,0,0,2,0
a009000002Jbq0g,0,0,1,0
a009000002NMC9H,0,0,1,0
a009000002NNW1G,0,0,1,0
a009000002OxNpx,0,0,2,0
a009000002TIs18,0,0,2,0
a009000002VqCsv,0,0,2,0
a009000002X5iba,0,0,1,0
a009000002X605O,0,0,1,0
a009000002X77Pb,0,1,0,0
a009000002XnIKJ,0,0,1,0
a009000002XnIUc,0,0,2,0
a009000002XnT5G,0,0,2,0
a009000002YdnkU,0,0,1,0
a009000002YfFTZ,0,0,2,0
a009000002b4xv1,0,0,1,0
a009000002cAG88,0,0,1,0
a009000002cd3RI,0,0,3,0
a009000002eREhI,0,0,1,0
a009000002gZWZS,0,0,2,0
a009000002gbhBM,0,0,2,0
a009000002jXOOQ,0,0,1,0
a009000002jY0s0,0,0,1,0
a009000002jYxuG,0,0,1,0
a009000002jaIbd,0,0,1,0
a009000002jaMQE,0,0,1,0
a009000002mEI1b,0,0,1,0
a009000002mEI5D,0,0,1,0
a009000002mEI6X,0,0,2,0
a009000002mEIky,0,0,1,0
a009000002mF1JE,0,0,1,0
a009000002pDRfn,0,0,2,0
a009000002pDRwE,0,0,1,0
a009000002s5IaI,0,0,1,0
a009000002s5IcU,0,0,1,0
a009000002s5IgJ,0,0,3,0
a009000002s5IkI,0,0,2,0
a009000002s6HaF,0,0,1,0
a009000002s6SdK,0,0,1,1
a009000002vGTof,0,0,2,0
a009000002vHTYE,0,0,1,0
a009000002vHeCC,0,0,1,0
a009000002vHsQ5,0,0,1,0
a0090000030KjX5,0,0,2,0
a0090000030LYrL,0,0,1,0
a0090000030ML6U,0,0,1,0
a0090000030NskY,0,0,2,0
a0090000030Nsov,0,0,1,0
a0090000033hfn3,0,0,1,0
a0090000033hvqx,0,0,2,0
a0090000033iP95,0,0,2,0
a0090000033iP9A,0,0,1,0
a0090000033iPyy,0,0,1,0
a0090000033iQNg,0,0,1,0
a0090000033ieIF,0,0,1,0
a0090000033ioFW,0,0,2,0
a0090000033j2Bb,0,0,1,0
a0090000033jlPx,0,0,1,0
a0090000033jszW,0,0,3,0
a0090000033juLI,0,0,1,0
a0090000033l77K,0,0,1,0
a0090000036lepq,0,0,1,0
a0090000036mPO0,0,0,1,0
a0090000036nwk2,0,0,2,0
