"Contact.ID","blank","others","emails","mails","calls","meetings","presentations","events","Total.Household.Gifts","Gave","bulk_email"
"0039000000DXkha",0,0,4,0,0,0,0,0,101000,TRUE,FALSE
"0039000000DXkhd",1,0,0,0,0,0,0,0,166460,TRUE,FALSE
"0039000000DXkHJ",1,0,0,0,0,0,0,0,10200,TRUE,FALSE
"0039000000DXkhK",0,0,7,0,0,1,0,0,9171,TRUE,FALSE
"0039000000DXkHK",1,0,0,0,0,0,0,0,10200,TRUE,FALSE
"0039000000DXkht",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkhu",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkhw",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkhx",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXki6",0,0,12,0,0,0,0,0,78043.7,TRUE,TRUE
"0039000000DXki7",0,0,10,0,0,0,0,0,78043.7,TRUE,TRUE
"0039000000DXki9",0,0,1,0,0,0,0,0,344133.65,TRUE,FALSE
"0039000000DXkIb",1,0,0,0,0,0,0,0,77516,TRUE,FALSE
"0039000000DXkiC",1,0,0,0,0,0,0,0,23000,TRUE,FALSE
"0039000000DXkii",1,0,0,0,0,0,0,0,115077.5,TRUE,FALSE
"0039000000DXkiN",0,2,1,0,0,0,0,0,269080,TRUE,FALSE
"0039000000DXkiO",1,0,0,0,0,0,0,0,120337,TRUE,FALSE
"0039000000DXkiP",1,0,0,0,0,0,0,0,115000,TRUE,FALSE
"0039000000DXkIs",0,0,6,0,0,1,0,0,4100,TRUE,FALSE
"0039000000DXkiu",0,0,4,0,0,2,0,0,150873,TRUE,FALSE
"0039000000DXkiV",0,0,2,0,0,0,0,0,344133.65,TRUE,FALSE
"0039000000DXkiw",1,0,0,0,0,0,0,0,1210,TRUE,FALSE
"0039000000DXkJ0",1,0,0,0,0,0,0,0,90000,TRUE,FALSE
"0039000000DXkj2",1,0,0,0,0,0,0,0,150720,TRUE,FALSE
"0039000000DXkj5",1,0,0,0,0,0,0,0,94202.35,TRUE,FALSE
"0039000000DXkj7",1,0,0,0,0,0,0,0,152203,TRUE,FALSE
"0039000000DXkJ7",1,0,0,0,0,0,0,0,19200,TRUE,FALSE
"0039000000DXkJ9",0,3,31,0,0,0,0,0,695860.7,TRUE,TRUE
"0039000000DXkja",0,1,9,0,0,3,0,0,354649.01,TRUE,FALSE
"0039000000DXkjb",0,0,3,0,0,0,0,0,354649.01,TRUE,FALSE
"0039000000DXkJB",0,0,41,0,0,1,0,0,695860.7,TRUE,TRUE
"0039000000DXkjC",0,0,5,0,0,1,0,0,6900,TRUE,FALSE
"0039000000DXkjd",0,1,18,0,0,2,0,0,426788,TRUE,TRUE
"0039000000DXkJE",0,0,14,0,0,0,0,1,257258,TRUE,TRUE
"0039000000DXkJh",1,0,0,0,0,0,0,0,12915,TRUE,FALSE
"0039000000DXkJH",0,0,2,0,0,0,0,0,129888,TRUE,FALSE
"0039000000DXkjK",1,0,0,0,0,0,0,0,6180,TRUE,FALSE
"0039000000DXkJk",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkJK",0,0,2,0,0,0,0,0,379056,TRUE,FALSE
"0039000000DXkJL",0,0,2,0,0,0,0,0,379056,TRUE,FALSE
"0039000000DXkjM",0,0,2,0,0,0,0,0,152203,TRUE,FALSE
"0039000000DXkjO",0,0,14,0,0,0,0,0,110050,TRUE,TRUE
"0039000000DXkJQ",1,0,0,0,0,0,0,0,115077.5,TRUE,FALSE
"0039000000DXkjY",0,0,1,0,0,0,0,0,152569,TRUE,FALSE
"0039000000DXkJy",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkK6",1,0,0,0,0,0,0,0,120330,TRUE,FALSE
"0039000000DXkK7",1,0,0,0,0,0,0,0,120330,TRUE,FALSE
"0039000000DXkKA",0,0,3,0,0,0,0,0,10500,TRUE,FALSE
"0039000000DXkKk",1,0,0,0,0,0,0,0,21822.95,TRUE,FALSE
"0039000000DXkKm",0,0,13,0,0,1,0,0,1269193.9,TRUE,TRUE
"0039000000DXkKM",1,0,0,0,0,0,0,0,11472,TRUE,FALSE
"0039000000DXkKn",0,0,19,1,0,0,0,0,1269193.9,TRUE,TRUE
"0039000000DXkkQ",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkKS",1,0,0,0,0,0,0,0,4100,TRUE,FALSE
"0039000000DXkku",1,0,0,0,0,0,0,0,43672.5,TRUE,FALSE
"0039000000DXkkX",0,2,8,1,0,2,0,0,2179800,TRUE,FALSE
"0039000000DXkl0",0,0,4,0,0,0,0,0,245822.79,TRUE,FALSE
"0039000000DXkL0",0,0,14,0,0,0,0,0,427669,TRUE,TRUE
"0039000000DXkL1",0,0,14,0,0,1,0,0,427669,TRUE,TRUE
"0039000000DXkLa",0,0,9,0,0,1,0,0,42400,TRUE,FALSE
"0039000000DXkLc",0,0,14,1,0,0,0,0,1029959.64,TRUE,TRUE
"0039000000DXkld",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkLd",0,0,19,0,0,1,0,0,1029959.64,TRUE,TRUE
"0039000000DXkle",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkLk",0,1,15,0,0,1,0,0,785771,TRUE,TRUE
"0039000000DXkll",0,0,15,0,0,3,0,0,171570.3,TRUE,TRUE
"0039000000DXkLn",0,1,15,0,0,1,0,0,785771,TRUE,TRUE
"0039000000DXklo",0,0,3,0,0,0,0,0,58318,TRUE,FALSE
"0039000000DXkLo",1,0,0,0,0,0,0,0,158350.5,TRUE,FALSE
"0039000000DXkLP",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkLQ",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXklr",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkLR",0,0,4,0,0,0,0,0,221115.35,TRUE,FALSE
"0039000000DXkLS",0,0,1,0,0,0,0,0,221115.35,TRUE,FALSE
"0039000000DXklv",1,0,0,0,0,0,0,0,1030,TRUE,FALSE
"0039000000DXkLZ",1,0,0,0,0,0,0,0,1640,TRUE,FALSE
