Household: Household ID,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017
a0090000009b651,2,3,2,0,0
a0090000009b652,0,3,0,1,0
a0090000009b65V,1,0,0,0,0
a0090000009b65f,3,0,1,0,0
a0090000009b66N,0,0,1,3,0
a0090000009b66i,0,0,1,0,0
a0090000009b67w,1,0,0,0,0
a0090000009b68F,4,0,5,6,0
a0090000009b68K,2,0,0,0,0
a0090000009b69l,0,1,1,1,0
a0090000009b69z,1,0,0,6,0
a0090000009b6A1,2,2,5,9,0
a0090000009b6A4,0,0,1,0,0
a0090000009b6BH,1,1,0,1,0
a0090000009b6BI,1,1,0,0,0
a0090000009b6BO,8,9,3,8,0
a0090000009b6BR,11,13,10,12,0
a0090000009b6Bc,1,1,0,0,0
a0090000009b6Cv,1,0,0,0,0
a0090000009b6DF,0,2,0,0,0
a0090000009b6Dn,0,3,3,7,0
a0090000009b6E0,2,0,0,0,0
a0090000009b6E2,2,0,0,0,0
a0090000009b6ER,0,1,0,0,0
a0090000009b6Ex,1,1,4,8,0
a0090000009b6Ft,1,0,0,0,0
a0090000009b6H1,0,0,0,1,0
a0090000009b6HU,2,3,1,3,0
a0090000009b6IB,1,1,0,0,0
a0090000009b6Ic,5,6,0,1,0
a0090000009b6If,0,1,2,2,0
a0090000009b6Ip,1,0,0,0,0
a0090000009b6JD,0,1,0,0,0
a0090000009b6K9,0,0,0,2,0
a0090000009b6KQ,0,0,0,1,0
a0090000009b6KV,0,1,0,0,0
a0090000009b6KZ,1,0,0,0,0
a0090000009b6L7,3,18,17,14,0
a0090000009b6Lb,8,2,3,0,0
a0090000009b6Lr,1,5,4,1,0
a0090000009b6Mn,2,1,1,2,0
a0090000009b6N6,1,0,1,0,0
a0090000009b6N9,1,0,0,0,0
a0090000009b6Nx,3,0,0,0,0
a0090000009b6P8,0,0,1,0,0
a0090000009b6QK,0,0,1,0,0
a0090000009b6QS,1,0,0,0,0
a0090000009b6R2,0,1,0,0,0
a0090000009b6Ra,2,3,1,1,0
a0090000009b6Rw,1,0,0,0,0
a0090000009b6Rx,0,0,0,1,0
a0090000009b6SM,0,4,0,0,0
a0090000009b6SR,1,0,0,0,0
a0090000009b6SZ,1,1,0,1,0
a0090000009b6Sr,1,0,0,0,0
a0090000009b6Sv,0,0,0,2,0
a0090000009b6TV,2,1,0,0,0
a0090000009b6Tr,0,1,6,11,0
a0090000009b6Vv,6,7,5,3,0
a0090000009b6YR,1,0,1,0,0
a0090000009b6YX,2,0,0,0,0
a0090000009b6Ya,1,0,0,0,0
a0090000009b6Yj,1,0,0,0,0
a0090000009b6Yo,0,2,3,1,0
a0090000009b6Yx,1,0,0,0,0
a0090000009b6Z1,0,0,0,2,0
a0090000009b6Zo,0,0,0,1,0
a0090000009b6a4,1,0,0,0,0
a0090000009b6bC,0,2,0,0,0
a0090000009b6bU,1,0,0,0,0
a0090000009b6bs,1,0,0,0,0
a0090000009b6c1,0,1,0,0,0
a0090000009b6c6,1,0,0,0,0
a0090000009b6cK,1,0,0,0,0
a0090000009b6cY,3,0,1,2,0
a0090000009b6cl,2,0,0,0,0
a0090000009b6cm,1,0,0,0,0
a0090000009b6d3,1,0,0,0,0
a0090000009b6dm,0,1,1,0,0
a0090000009b6ds,1,0,0,0,0
a0090000009b6dx,1,0,0,0,0
a0090000009b6e0,1,0,0,0,0
a0090000009b6fG,0,1,2,12,1
a0090000009b6fS,0,0,1,0,0
a0090000009b6h3,1,0,0,0,0
a0090000009b6hA,1,0,0,0,0
a0090000009b6hx,1,0,0,0,0
a0090000009b6jQ,1,0,0,0,0
a0090000009b6jj,1,0,0,0,0
a0090000009b6kB,1,0,0,0,0
a0090000009b6kn,2,3,1,3,0
a0090000009b6lD,1,0,1,1,0
a0090000009b6lW,1,1,1,1,0
a0090000009b6ld,1,0,1,0,0
a0090000009b6mJ,1,1,0,0,0
a0090000009b6n9,2,2,2,12,0
a0090000009b6nW,1,2,1,1,0
a0090000009b6nm,1,0,0,0,0
a0090000009b6ns,0,2,3,2,0
a0090000009b6oC,0,1,0,0,0
a0090000009b6oG,2,1,0,0,0
a0090000009bmoS,1,0,0,0,0
a0090000009vUcN,0,0,1,0,0
a0090000009vySu,1,1,1,1,0
a009000000ARBv1,0,1,1,0,0
a009000000AStsi,2,0,0,0,0
a009000000AU99X,4,0,0,0,0
a009000000AUKyN,1,1,2,0,0
a009000000AULA1,1,0,0,0,0
a009000000BicwJ,1,0,0,0,0
a009000000Bidpb,2,0,0,0,0
a009000000Bj1b4,3,1,1,0,0
a009000000Bj3f7,0,0,1,0,0
a009000000BkEmN,1,0,0,0,0
a009000000BlsDE,0,1,0,0,0
a009000000CPaBg,1,1,1,1,0
a009000000CQXR0,3,0,0,0,0
a009000000CQZ01,0,1,1,1,0
a009000000CR1D1,1,0,0,0,0
a009000000CRGCq,1,0,0,0,0
a009000000DTULX,1,0,0,0,0
a009000000DTULY,1,0,0,0,0
a009000000DTULZ,1,0,0,0,0
a009000000DTULf,1,0,0,0,0
a009000000DTULl,1,0,0,0,0
a009000000DTULm,1,0,0,0,0
a009000000DTULn,1,0,0,0,0
a009000000DTULq,1,0,0,0,0
a009000000DTULv,1,0,0,0,0
a009000000DTULw,1,0,0,0,0
a009000000DTULy,1,0,0,0,0
a009000000DTUM3,2,0,0,0,0
a009000000DTUM6,1,0,0,2,0
a009000000DTUMB,1,0,0,0,0
a009000000DTUMN,1,0,0,0,0
a009000000DTUMR,1,0,0,0,0
a009000000DTUMX,2,0,1,0,0
a009000000DTUMf,1,0,0,0,0
a009000000DTUMi,1,0,0,0,0
a009000000DTUN4,1,0,0,0,0
a009000000DTUN7,1,0,0,0,0
a009000000DTrpC,1,0,0,0,0
a009000000DUQrj,3,0,0,0,0
a009000000DUt4J,1,0,0,0,0
a009000000DUxmS,2,1,1,1,0
a009000000DUxnk,1,2,2,1,0
a009000000DVarL,1,0,0,0,0
a009000000DVius,1,9,12,13,0
a009000000DViuv,1,0,0,0,0
a009000000DVizY,0,0,0,1,0
a009000000DVoDC,1,0,0,0,0
a009000000DVq5s,1,0,0,0,0
a009000000DVq5t,1,0,0,0,0
a009000000DVq5v,1,0,0,0,0
a009000000DVq5w,3,0,0,0,0
a009000000DVq5x,2,0,0,1,1
a009000000DVq5y,1,0,0,0,0
a009000000DVq5z,1,0,0,0,0
a009000000DVq60,1,0,0,0,0
a009000000DVq61,1,0,0,0,0
a009000000DVq62,1,0,0,0,0
a009000000DVq63,1,0,0,0,0
a009000000DVq65,1,0,0,0,0
a009000000DVq67,1,0,0,0,0
a009000000DVq68,8,1,0,0,0
a009000000DVq6C,1,0,0,0,0
a009000000DVq6D,1,0,0,0,0
a009000000DVq6F,1,0,0,0,0
a009000000DVq6G,1,0,0,0,0
a009000000DVq6H,1,0,0,0,0
a009000000DVq6I,1,0,0,0,0
a009000000DVq6J,2,0,2,0,0
a009000000DVq6K,2,0,0,0,0
a009000000DVq6L,2,0,0,0,0
a009000000DVq6M,2,0,0,0,0
a009000000DVq6f,1,0,0,0,0
a009000000DVq6y,1,0,0,0,0
a009000000DW2y9,2,0,0,0,0
a009000000DW39H,2,0,0,0,0
a009000000DWEQP,1,0,0,0,0
a009000000DWEQS,1,0,0,0,0
a009000000DWEQZ,1,0,0,0,0
a009000000DWET7,1,0,0,0,0
a009000000DWET8,1,0,0,0,0
a009000000DWET9,1,0,0,0,0
a009000000DWETA,1,0,0,0,0
a009000000DWETB,1,0,0,0,0
a009000000DWETC,1,0,0,0,0
a009000000DWETD,1,0,0,0,0
a009000000DWETE,1,0,0,0,0
a009000000DWETF,1,0,0,0,0
a009000000DWETG,1,0,0,0,0
a009000000DWETJ,1,0,0,0,0
a009000000DWETK,1,0,0,0,0
a009000000DWETL,1,0,0,0,0
a009000000DWETM,1,0,0,0,0
a009000000DWETN,1,0,0,0,0
a009000000DWETO,1,0,0,0,0
a009000000DWETR,1,0,0,0,0
a009000000DWETT,1,0,0,0,0
a009000000DWETU,1,0,0,0,0
a009000000DWETX,1,0,0,0,0
a009000000DWETY,2,0,0,0,0
a009000000DWETb,1,0,0,0,0
a009000000DWETc,1,0,0,0,0
a009000000DWETd,1,0,0,0,0
a009000000DWETe,1,0,0,0,0
a009000000DWETf,1,0,0,0,0
a009000000DWETg,1,0,0,0,0
a009000000DWETi,1,0,2,2,0
a009000000DWETj,1,0,0,0,0
a009000000DWETl,1,0,0,0,0
a009000000DWETm,1,0,0,0,0
a009000000DWETq,1,0,0,0,0
a009000000DWETr,1,0,0,0,0
a009000000DWETs,1,0,0,0,0
a009000000DWETt,1,0,0,0,0
a009000000DWETu,1,0,0,0,0
a009000000DWETy,1,0,0,0,0
a009000000DWETz,1,0,0,0,0
a009000000DWEU0,1,0,0,0,0
a009000000DWEU1,1,0,0,0,0
a009000000DWEU2,1,0,0,0,0
a009000000DWEU3,1,0,0,0,0
a009000000DWEU8,1,0,0,0,0
a009000000DWEUH,2,0,0,0,0
a009000000DWEUO,1,0,0,0,0
a009000000DWEUT,1,0,0,0,0
a009000000DWEUW,1,0,0,0,0
a009000000DWEUX,1,0,0,0,0
a009000000DWEUw,1,0,0,0,0
a009000000DWEV3,1,0,0,0,0
a009000000DWEV4,1,0,0,0,0
a009000000DWEV7,1,0,0,0,0
a009000000DWEVA,1,0,0,0,0
a009000000DWEVB,1,0,0,0,0
a009000000DWEVL,1,0,0,0,0
a009000000DWEVQ,1,0,0,0,0
a009000000DWEVS,1,0,0,0,0
a009000000DWEVT,1,0,1,0,0
a009000000DWEVU,1,0,0,0,0
a009000000DWEVY,1,0,0,0,0
a009000000DWEVa,1,0,0,0,0
a009000000DXUGI,11,0,0,0,0
a009000000G3Rua,1,0,0,0,0
a009000000G6Bf9,1,0,0,0,0
a009000000G6DHZ,0,1,0,0,0
a009000000G6brx,1,0,0,0,0
a009000000G6bt0,1,0,0,0,0
a009000000G6c2s,1,0,0,0,0
a009000000G6c5S,1,0,0,0,0
a009000000G6cFX,2,1,0,0,0
a009000000G6oiL,1,0,0,0,0
a009000000G6p3z,1,0,0,0,0
a009000000G6pqw,1,0,0,0,0
a009000000G6q3w,1,0,0,0,0
a009000000G6qYK,1,0,0,2,0
a009000000G6qiK,1,0,0,0,0
a009000000G6qkz,1,0,0,0,0
a009000000G6t3J,1,0,0,0,0
a009000000G6t9g,1,2,0,0,0
a009000000G6tOm,1,0,0,0,0
a009000000G6tTf,1,0,0,0,0
a009000000G6txO,1,0,0,0,0
a009000000G6u8g,1,0,0,0,0
a009000000HAkUr,2,0,0,0,0
a009000000HAl9X,1,0,0,0,0
a009000000HAlAL,1,0,0,0,0
a009000000HBuuK,1,0,0,0,0
a009000000HSAwC,1,0,0,0,0
a009000000HSCsO,1,0,0,1,0
a009000000HSSIX,1,0,0,0,0
a009000000HnHVJ,1,0,0,0,0
a009000000HnHVT,6,0,0,0,0
a009000000HnHVW,1,0,0,0,0
a009000000HnHVa,3,1,0,0,0
a009000000HnHVb,1,0,0,0,0
a009000000HnHVe,1,0,0,0,0
a009000000HnHVg,1,0,0,0,0
a009000000HnHVh,1,0,0,0,0
a009000000HnHVi,1,0,0,0,0
a009000000HnHVk,2,0,0,0,0
a009000000HnHVl,1,1,0,0,0
a009000000HnHVm,2,0,0,0,0
a009000000HnHVp,1,2,0,0,0
a009000000HnR2i,1,0,0,0,0
a009000000HnRKK,1,0,0,0,0
a009000000Hnjhu,10,6,0,0,0
a009000000IAwNo,1,0,0,0,0
a009000000IclhN,1,0,0,0,0
a009000000IfQpU,0,0,0,1,0
a009000000IfUEp,1,0,0,0,0
a009000000IfUfk,1,0,0,0,0
a009000000Ifdz8,1,0,0,0,0
a009000000IgMtZ,1,0,0,0,0
a009000000It97U,1,0,0,0,0
a009000000It97W,1,0,0,0,0
a009000000ItA6e,1,0,0,0,0
a009000000ItA89,1,0,0,0,0
a009000000Itrxm,1,0,0,0,0
a009000000JMpYh,1,0,0,0,0
a009000000JNvx8,1,9,0,5,0
a009000000JNxwl,1,0,0,0,0
a009000000Jqbbm,1,2,0,0,0
a009000000JrKxr,2,6,5,3,0
a009000000JsZLI,2,0,0,0,0
a009000000KHIoB,1,1,1,0,0
a009000000KISsr,1,0,0,0,0
a009000000KIUvR,1,0,0,0,0
a009000000KIV1a,0,1,0,0,0
a009000000KIVW1,1,1,0,0,0
a009000000KIWIB,1,0,0,0,0
a009000000KIWSB,2,0,0,0,0
a009000000KIZSk,0,0,2,2,0
a009000000KIapF,0,0,1,0,0
a009000000KIeAe,2,0,0,0,0
a009000000KIeUi,2,0,0,0,0
a009000000KmwTi,1,0,0,1,0
a009000000KmyQN,0,2,1,1,0
a009000000Knmw7,1,0,1,2,0
a009000000KnnZ1,1,0,0,0,0
a009000000KoSO6,1,0,0,3,0
a009000000Kogk0,1,0,0,0,0
a009000000Kp4nQ,1,0,0,0,0
a009000000KpIzi,1,0,0,0,0
a009000000KpKge,1,0,0,0,0
a009000000KpLWE,1,0,0,0,0
a009000000KpMYE,1,1,0,0,0
a009000000KpNPK,1,1,0,0,0
a009000000KpNxB,0,1,0,0,0
a009000000KpQU0,1,0,0,0,0
a009000000KpT9k,1,0,0,0,0
a009000000KpTAr,1,0,0,0,0
a009000000Kpb3k,1,0,0,1,0
a009000000Kpb6q,1,2,1,0,0
a009000000Kpbg4,2,0,0,0,0
a009000000LKFvq,1,0,0,0,0
a009000000LKHNp,1,0,0,0,0
a009000000LKHNu,1,0,0,0,0
a009000000LKcBh,3,0,0,0,0
a009000000LKd95,0,0,0,2,0
a009000000LKyIM,1,0,0,0,0
a009000000LKyPA,3,3,4,0,0
a009000000LKyUt,1,0,0,0,0
a009000000LKyli,1,0,0,0,0
a009000000LKz24,1,0,0,0,0
a009000000LKz7l,1,0,0,2,0
a009000000LKzCz,1,0,0,0,0
a009000000LKzNE,1,1,0,0,0
a009000000LKzfL,2,0,0,1,0
a009000000LKzi3,1,1,0,0,0
a009000000LKzn7,1,0,0,0,0
a009000000LKzrc,1,0,0,0,0
a009000000LL01p,3,1,0,0,0
a009000000LL0Kl,1,0,0,0,0
a009000000LL2Gk,1,0,0,0,0
a009000000LL3SQ,1,0,0,0,0
a009000000LL3uQ,1,0,0,0,0
a009000000LL6Ir,1,0,0,0,0
